FDP,FDS,EIP,EDC,LUM,DI,PI,L1,L2,L1W,L2W
0.242611336,0.116736991,0.775666803,0.700110946,0.450408765,0.269960157,0.215932973,2.771427971,1.219293116,279.1786355,140.3079741
0.144948432,0.069663243,0.025225357,0.52995699,0.169363849,0.185256017,0.145794466,1.270208354,0.625790442,126.2756097,74.08492477
0.296381531,0.142611636,0.920408103,0.862257662,0.324304802,0.388474956,0.301445084,3.235883774,1.430305903,337.9756809,169.9409385
0.264557652,0.126168466,0.497278231,0.843554349,0.839726833,0.177372746,0.179595681,2.928253957,1.346712911,271.6141862,135.284647
0.315900316,0.151141705,0.779158426,0.963733182,0.689630066,0.304515997,0.265667861,3.469747553,1.515719419,341.2645784,169.0003891
0.22097946,0.106213589,0.273010733,0.747879621,0.068090113,0.331986945,0.25393959,2.002100052,0.934510004,213.5070035,111.4985621
0.187476246,0.091402729,0.895234035,0.474954054,0.007944931,0.324986548,0.221187588,2.203186132,1.106856115,243.8543524,132.9094473
0.172609206,0.083203727,0.796546007,0.436603302,0.745734158,0.085214247,0.082444234,2.402354882,1.196663168,222.3890074,119.3099992
0.301923949,0.145042321,0.556543836,0.974140853,0.044983431,0.464247622,0.355118823,2.842000834,1.309406556,308.270599,155.9297644
0.116282627,0.056671654,0.372175246,0.341361411,0.137724776,0.166612933,0.115098735,1.305927382,0.575978346,134.7990489,67.88319862
0.22346998,0.106087229,0.244411467,0.753588426,0.998988796,0.063205893,0.104380356,2.494132148,1.304490196,213.3248395,111.3993012
0.121917504,0.058835262,0.26966478,0.38403376,0.391991857,0.096725293,0.080558532,1.403726987,0.638771918,130.0050697,64.37868625
0.252675635,0.121588691,0.670602473,0.764411264,0.266612038,0.333920959,0.258623138,2.668434199,1.167104175,277.6754094,138.3757679
0.135383066,0.065072815,0.129576226,0.467861948,0.333963681,0.12757155,0.106860663,1.366289949,0.630454827,128.1228535,67.70433825
0.147538745,0.071281618,0.354521762,0.4581828,0.263882012,0.173607539,0.13241104,1.601425516,0.692655676,159.4865633,79.09968566
0.23146695,0.112188288,0.98099122,0.612844602,0.149542207,0.349411562,0.251106096,2.687550925,1.26948455,288.9930303,152.6795468
0.058160643,0.029726916,0.879125577,0.004407266,0.290217496,0.058395548,0.017943127,1.337976572,0.930110609,133.683369,110.3726961
0.193425397,0.092868333,0.374469137,0.619059432,0.400579315,0.199713488,0.165640229,2.045755331,0.892908493,200.0246109,99.69388139
0.245205784,0.117520568,0.375856502,0.808413355,0.31407289,0.298545719,0.242689355,2.402304173,1.056128152,243.6744814,123.858697
0.130484405,0.064123376,0.733135178,0.306511343,0.02405213,0.233302927,0.14985827,1.641467627,0.854424157,180.6647883,103.0479899
0.210390401,0.100078133,0.335629412,0.684069064,0.966503162,0.057470784,0.09354396,2.447684917,1.257401712,210.8922781,106.5655844
0.075265036,0.036944144,0.417931138,0.177720762,0.407915924,0.031296944,0.020844356,1.167918304,0.617325026,104.7212415,59.14612099
0.159025316,0.076261903,0.065526651,0.570353599,0.268500547,0.177864252,0.146500452,1.464032719,0.697059909,141.9539752,80.17185776
0.179880509,0.085856266,0.104435486,0.63404568,0.525269632,0.134118682,0.129587731,1.793193986,0.873692153,163.2733774,89.81972581
0.213875337,0.103053601,0.635631403,0.630709989,0.338131744,0.256653241,0.199895606,2.377950922,1.03843502,241.7772104,120.8546158
0.045797951,0.023470528,0.621309545,0.02217227,0.284778604,0.032852602,0.004629674,1.035011174,0.68656031,99.01848628,78.25803487
0.126548443,0.060965713,0.118605829,0.439117506,0.263168404,0.135241191,0.107779646,1.251426732,0.570777622,119.6272212,63.42683899
0.175890192,0.0836202,0.067521262,0.626134853,0.737325822,0.065287785,0.090079946,1.84586006,0.995268774,156.5371016,88.48892778
0.256452616,0.12319093,0.630211695,0.786998701,0.357810768,0.311214689,0.248377619,2.714257017,1.176457502,277.0920458,137.6479438
